field_name,description,ecpay_name,smilepay_name,amego_name,ezpay_name,paynow_name,type,required_b2c,required_b2b,notes
merchant_id,商家代號,MerchantID,Grvc,invoice,MerchantID_,JWT-Token,String,Y,Y,ECPay 10碼 SmilePay 帳號 Amego 統編 ezPay 後綴底線 PayNow 用 Bearer Token
order_id,訂單編號,RelateNumber,data_id,OrderId,MerchantOrderNo,InvoiceNo,String,Y,Y,不可重複 ECPay 50字 SmilePay 50字 Amego 40字 ezPay 30字
buyer_identifier,買方統編,CustomerIdentifier,Buyer_id,BuyerIdentifier,BuyerUBN,BuyerIdentifier,String,N,Y,8碼數字 無統編填空(ECPay/SmilePay/ezPay)或0000000000(Amego/PayNow)
buyer_name,買方名稱,CustomerName,Name/CompanyName,BuyerName,BuyerName,BuyerName,String,N,Y,B2C用Name B2B用CompanyName (SmilePay)
buyer_email,買方信箱,CustomerEmail,Email,BuyerEmailAddress,BuyerEmail,BuyerEmail,String,N,N,多組用分號區隔
buyer_phone,買方電話,CustomerPhone,Phone,BuyerTelephoneNumber,BuyerPhone,BuyerTelephone,String,N,N,
buyer_address,買方地址,CustomerAddr,Address,BuyerAddress,BuyerAddress,BuyerAddress,String,N,N,
invoice_type,字軌類別,InvType,Intype,TaxType,Category,InvType,String,Y,Y,ECPay: 07一般/08特種 SmilePay: 07/08 Amego: 1-4/9 ezPay 用 Category=B2C/B2B
tax_type,課稅別,TaxType,TaxType,TaxType,TaxType,TaxType,Number,Y,Y,1應稅 2零稅率 3免稅 9混合
sales_amount,銷售額,SalesAmount,AllAmount/SalesAmount,SalesAmount,Amt,SalesAmount,Number,Y,Y,B2C含稅 B2B未稅
tax_amount,稅額,TaxAmount,TaxAmount,TaxAmount,TaxAmt,TaxAmount,Number,N,Y,B2C為0 B2B需計算
total_amount,總金額,TotalAmount,AllAmount,TotalAmount,TotalAmt,TotalAmount,Number,N,Y,SalesAmount + TaxAmount
carrier_type,載具類別,CarrierType,CarrierType,CarrierType,CarrierType,CarrierType,String,N,N,手機條碼: ECPay=3 SmilePay=3J0002 Amego=3J0002 ezPay=0/1/2
carrier_id,載具編號,CarrierNum,CarrierID,CarrierId1,CarrierNum,CarrierNum,String,N,N,手機條碼以/開頭共8碼
donation,捐贈註記,Donation,DonateMark,NPOBAN,LoveCode,DonateMark,String,Y,N,ECPay/SmilePay: 0不捐1捐 Amego/ezPay 直接填愛心碼
love_code,愛心碼,LoveCode,LoveKey,NPOBAN,LoveCode,LoveCode,String,N,N,捐贈時必填 3-7碼
print,列印註記,Print,,,PrintFlag,PrintFlag,String,Y,N,ECPay/ezPay 0不列印 1列印 B2B固定1
invoice_date,發票日期,InvCreateDate,InvoiceDate,InvoiceDate,InvoiceDate,InvoiceDate,String,N,N,ECPay可回溯6天 SmilePay B2C 48hr B2B 168hr
invoice_time,發票時間,,InvoiceTime,InvoiceTime,InvoiceTime,InvoiceTime,String,N,N,SmilePay/Amego/ezPay/PayNow 專用 HH:MM:SS
item_name,商品名稱,ItemName,Description,Description,ItemName,ItemName,String,Y,Y,ECPay 100字 SmilePay 256字 Amego 256字 ezPay 30字 (字串以 | 分隔多項)
item_count,商品數量,ItemCount,Quantity,Quantity,ItemCount,ItemCount,Number,Y,Y,
item_price,商品單價,ItemPrice,UnitPrice,UnitPrice,ItemPrice,ItemPrice,Number,Y,Y,B2C含稅 B2B未稅
item_amount,商品小計,ItemAmount,Amount,Amount,ItemAmt,ItemAmount,Number,Y,Y,ItemCount * ItemPrice
item_unit,商品單位,ItemWord,Unit,Unit,ItemUnit,ItemUnit,String,N,N,6字以內
item_remark,商品備註,ItemRemark,Remark,Remark,Comment,ItemRemark,String,N,N,40字以內
random_number,隨機碼,RandomNumber,RandomNumber,random_number,RandomNum,RandomNumber,String,N,N,開立成功後回傳 列印時需要
