operation,operation_zh,ecpay_endpoint,newebpay_endpoint,payuni_endpoint,smilepay_endpoint,pchomepay_endpoint,ezpay_endpoint,paynow_legacy_endpoint,paynow_modern_endpoint,opay_endpoint,jkopay_endpoint,sunpay_endpoint,method,required_fields,notes
create_order,建立訂單,/Cashier/AioCheckOut/V5,/MPG/mpg_gateway,/api/order/create,/api/SPPayment.asp,/v1/payment,/MPG/mpg_gateway,/service/etopm.aspx,/api/v1/payment-intent/create,/Cashier/AioCheckOut/V5,/platform/entry,/v4/cash,POST,"MerchantID,MerchantTradeNo,TotalAmount,TradeDesc,ItemName,ReturnURL",主要付款入口；PChomePay 另有 /v1/payment/atmva (ATM) 與 /v1/payment/barcode (CVS code) | 歐付寶 O'Pay 路徑與綠界相同僅換網域;街口 JKOPAY 為 /platform/entry 且同單號冪等;紅陽 SunPay 為 /v4/cash
query_order,查詢訂單,/Cashier/QueryTradeInfo/V5,/API/QueryTradeInfo,/api/order/query,/ezpos/mtmk_utf.asp,/v1/payment/{order_id},/API/QueryTradeInfo,N/A,/api/v1/payment-intent/{id},/Cashier/QueryTradeInfo/V5,/platform/inquiry (GET;最多20筆),/v4/query/PaymentCheck,POST,"MerchantID,MerchantTradeNo,TimeStamp",查詢交易狀態；SmilePay 用 mtmk 端點 | 街口 JKOPAY 查詢為 GET 且一次最多 20 筆;紅陽 SunPay 查詢的 pay_result=12 意為查無訂單與交易通知不同義
credit_action,信用卡請退款,/CreditDetail/DoAction,/API/CreditCard/Close,/api/credit/action,/api/SPPayment_Modify.asp,/v1/refund,/API/CreditCard/Close,N/A,/api/v1/payment-intent/{id}/refund,/CreditDetail/DoAction,/platform/refund,/v3/Service/CardCapture (請款) 與 /v3/Service/CardRefund (退款),POST,"MerchantID,TradeNo,Action,TotalAmount",請款/退款/取消；PayNow 現代版用 PaymentIntent refund | 街口 JKOPAY 退款單號一筆只能退一次;紅陽 SunPay 請款與退款仍在 /v3/ 與交易查詢的 /v4/ 不同
query_credit,信用卡查詢,/CreditDetail/QueryTrade/V2,/API/CreditCard/TradeInfo,/api/credit/query,N/A,/v1/refund/{refund_id},/API/CreditCard/TradeInfo,N/A,/api/v1/refund/{id},/CreditDetail/QueryTrade/V2,N/A,N/A,POST,"MerchantID,CreditRefundId",查詢信用卡交易
periodic_create,定期定額建立,/Cashier/AioCheckOut/V5,/API/CreditCard/Period,/api/trade/periodic,N/A,N/A,/API/CreditCard/Period,N/A,/api/v1/customer (saved card),/Cashier/AioCheckOut/V5,/platform/authpay/regular 或 /limited,N/A,POST,"PeriodAmount,PeriodType,Frequency,ExecTimes",設定週期付款；PayNow 現代版用 Customer + Card Token 機制 | 街口 JKOPAY 授權扣款分定期定額 regular 與不定期不定額 limited 兩種;歐付寶 O'Pay 同綠界定期定額
periodic_query,定期定額查詢,/Cashier/QueryCreditCardPeriodInfo,/API/CreditCard/PeriodInfo,,N/A,N/A,/API/CreditCard/PeriodInfo,N/A,N/A,/Cashier/QueryCreditCardPeriodInfo,/platform/authpay/detail,N/A,POST,"MerchantID,MerchantTradeNo",查詢週期付款
periodic_action,定期定額操作,/CreditDetail/CreditCardPeriodAction,/API/CreditCard/PeriodAlter,,N/A,N/A,/API/CreditCard/PeriodAlter,N/A,N/A,/CreditDetail/CreditCardPeriodAction,/platform/authpay/transaction (扣款) 與 /cancel (終止),N/A,POST,"MerchantID,Action",取消/修改週期 | 街口 JKOPAY 扣款限 08:00-20:00 UTC+8 且同一 auth_no 不可併發
get_token,取得 Token,N/A,N/A,N/A,N/A,/v1/token,N/A,N/A,N/A,N/A,N/A,N/A,POST,"BasicAuth(APP_ID,SECRET)",PChomePay 兩階段認證；token 預設 28800 秒 (8h) 有效
balance_query,查詢餘額,N/A,N/A,N/A,N/A,/v1/balance,N/A,N/A,N/A,N/A,N/A,N/A,GET,pcpay-token header,PChomePay 商家後台帳戶餘額
withdraw,提領款項,N/A,N/A,N/A,N/A,/v1/withdraw,N/A,N/A,N/A,N/A,N/A,N/A,POST,"amount,bank,account",PChomePay 提領至銀行
