method_code,method_zh,method_en,ecpay_code,newebpay_code,payuni_code,smilepay_code,pchomepay_code,ezpay_code,paynow_code,min_amount,max_amount,settlement_days,fee_type,notes
credit,信用卡,Credit Card,Credit,CREDIT,credit,Pay_zg=1,CC,CREDIT,CreditCard,1,,2-3,percentage,一次付清
credit_installment,信用卡分期,Credit Installment,Credit+CreditInstallment,INST,installment,Pay_zg=1+Stage,CC_INSTALLMENT,INST,CreditCardInstallment,1000,,依期數,percentage,3/6/12/18/24/30期
credit_periodic,信用卡定期,Credit Periodic,Credit+Period,,,,,,,,100,,2-3,percentage,週期扣款；PayNow 現代版用 Customer/Card Token
credit_red,信用卡紅利,Credit Red,CreditRed,CreditRed,,,,,,,1,,2-3,percentage,紅利折抵
unionpay,銀聯卡,UnionPay,UnionPay,UNIONPAY,unionpay,Pay_zg=11,,UNIONPAY,,1,,2-3,percentage,需另申請；SmilePay 用 Pay_zg=11
creditae,美國運通卡,AMEX,,CREDITAE,,,,CREDITAE,,1,,2-3,percentage,需另申請
webatm,網路ATM,WebATM,WebATM,WEBATM,webatm,,,WEBATM,,1,49999,1,fixed,即時轉帳
atm,ATM虛擬帳號,ATM Virtual Account,ATM,VACC,atm,Pay_zg=2,ATMVA,VACC,ATM,1,49999,1-3,fixed,產生繳費帳號
cvs,超商代碼,CVS Code,CVS,CVS,cvs,Pay_zg=4 (ibon)/6 (FamiPort),BARCODE_CVS,CVS,ConvenienceStore,30,20000,1-3,fixed,至超商繳費；SmilePay 細分 ibon/FamiPort
barcode,超商條碼,CVS Barcode,BARCODE,BARCODE,,Pay_zg=3,,BARCODE,,20,40000,1-3,fixed,產生條碼
applepay,Apple Pay,Apple Pay,ApplePay,APPLEPAY,ApplePay,,,APPLEPAY,ApplePay,1,,2-3,percentage,PayNow 現代版含 Apple Pay v1/v2 + Deferred (延遲扣款)
