logistics_type,logistics_sub_type,name_zh,provider,type,collection_available,max_amount,size_limit,temperature,notes
CVS,LogisticsSubType=UNIMART,7-11 超商取貨（B2C）,ecpay,cvs_b2c,true,20000,,常溫,B2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收
CVS,LogisticsSubType=UNIMARTFREEZE,7-11 冷凍店取（B2C）,ecpay,cvs_b2c,true,20000,,冷凍,B2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收
CVS,LogisticsSubType=FAMI,全家（B2C）,ecpay,cvs_b2c,true,20000,,常溫,B2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收
CVS,LogisticsSubType=HILIFE,萊爾富（B2C）,ecpay,cvs_b2c,true,20000,,常溫,B2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收
CVS,LogisticsSubType=UNIMARTC2C,7-11 交貨便（C2C）,ecpay,cvs_c2c,true,20000,,常溫,C2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收
CVS,LogisticsSubType=FAMIC2C,全家店到店（C2C）,ecpay,cvs_c2c,true,20000,,常溫,C2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收
CVS,LogisticsSubType=HILIFEC2C,萊爾富店到店（C2C）,ecpay,cvs_c2c,true,20000,,常溫,C2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收
CVS,LogisticsSubType=OKMARTC2C,OK 店到店（C2C）,ecpay,cvs_c2c,true,20000,,常溫,C2C 合約才能用；GoodsAmount 1–20000；IsCollection=Y 代收；OK 只有 C2C，沒有 OKMART
HOME,LogisticsSubType=TCAT,黑貓宅急便,ecpay,home,true,20000,,常溫/冷藏/冷凍,LogisticsType=HOME；Temperature 0001/0002/0003；代收時商品金額上限 20000
HOME,LogisticsSubType=POST,中華郵政,ecpay,home,false,,,常溫,LogisticsType=HOME；Temperature 只能 0001；不可代收
CVS,LgsType=B2C ShipType=1,7-11 大宗寄倉（B2C）,newebpay,cvs_b2c,true,20000,,常溫,B2C 只有 7-11；TradeType 1 取貨付款／3 取貨不付款
CVS,LgsType=C2C ShipType=1,7-11 店到店（C2C）,newebpay,cvs_c2c,true,20000,,常溫,TradeType 1 取貨付款／3 取貨不付款；藍新物流無宅配
CVS,LgsType=C2C ShipType=2,全家 店到店（C2C）,newebpay,cvs_c2c,true,20000,,常溫,TradeType 1 取貨付款／3 取貨不付款；藍新物流無宅配
CVS,LgsType=C2C ShipType=3,萊爾富 店到店（C2C）,newebpay,cvs_c2c,true,20000,,常溫,TradeType 1 取貨付款／3 取貨不付款；藍新物流無宅配
CVS,LgsType=C2C ShipType=4,OK 店到店（C2C）,newebpay,cvs_c2c,true,20000,,常溫,TradeType 1 取貨付款／3 取貨不付款；藍新物流無宅配
CVS,LgsType=B2C ShipType=1 GoodsType=1,7-11 大宗寄倉（常溫）,payuni,cvs_b2c,true,,,常溫,Ship=1 取貨付款、ShipTag=1 啟用物流
CVS,LgsType=B2C ShipType=1 GoodsType=2,7-11 大宗寄倉（冷凍）,payuni,cvs_b2c,true,,,冷凍,Ship=1 取貨付款、ShipTag=1 啟用物流；冷凍門市地圖 MapType 固定 2
CVS,LgsType=C2C ShipType=1 GoodsType=1,7-11 店到店（常溫）,payuni,cvs_c2c,true,,,常溫,Ship=1 取貨付款、ShipTag=1 啟用物流
CVS,LgsType=C2C ShipType=1 GoodsType=2,7-11 店到店（冷凍）,payuni,cvs_c2c,true,,,冷凍,Ship=1 取貨付款、ShipTag=1 啟用物流；冷凍門市地圖 MapType 固定 2
HOME,LgsType=HOME ShipType=2 GoodsType=1/2/3,黑貓宅配,payuni,home,,,,常溫/冷凍/冷藏,GoodsType 1 常溫／2 冷凍／3 冷藏；ConsigneeAddress、DeliveryTimeTag 必填
CVS,Pay_zg=55/56 Pay_subzg=7NET,7-11 大宗寄倉（B2C）,smilepay,cvs_b2c,true,,,常溫,55 取貨付款／56 純取貨
CVS,Pay_zg=55/56 Pay_subzg=FAMI,全家 大宗寄倉（B2C）,smilepay,cvs_b2c,true,,,常溫,55 取貨付款／56 純取貨
CVS,Pay_zg=51/52 Pay_subzg=7NET,7-11 店到店（C2C）,smilepay,cvs_c2c,true,,,常溫,51 取貨付款／52 純取貨
CVS,Pay_zg=51/52 Pay_subzg=FAMI,全家 店到店（C2C）,smilepay,cvs_c2c,true,,,常溫,51 取貨付款／52 純取貨
HOME,Pay_zg=81/82 Pay_subzg=TCAT,黑貓宅配,smilepay,home,true,,,常溫/冷藏/冷凍,81 取貨付款／82 純取貨；溫層由 ezcatGetTrackNum.asp 的 temperature 0001/0002/0003 決定
HOME,Pay_zg=83 Pay_subzg=TCAT,黑貓逆物流（退貨）,smilepay,return,false,,,常溫,退貨用
