provider,code,message_zh,message_en,category,severity,solution
ecpay,1,交易成功,Success,success,info,
ecpay,2,ATM 取號成功（等待轉帳）,ATM number issued,success,info,不是錯誤；等消費者轉帳後會再收到付款通知
ecpay,10100073,超商代碼 / 條碼取號成功（等待繳費）,CVS/Barcode number issued,success,info,不是錯誤；等消費者繳費後會再收到付款通知
ecpay,10100001,超商代碼已失效,CVS code expired,payment,error,重新取號
ecpay,10100058,ATM 繳費期限已過（電子發票服務中為發票作業逾時）,ATM payment expired,payment,error,重新建立訂單取號；同一代碼在發票服務含意不同，依收到的服務判斷
ecpay,10100248,帳號錯誤（例如把物流 / 發票帳號用在金流）,Wrong merchant account,auth,error,確認金流、物流、發票各自使用正確的 MerchantID / HashKey / HashIV
ecpay,10200009,訂單已過期,Order expired,payment,error,檢查 ExpireDate 設定，重新建立訂單
ecpay,10200043,3D 驗證失敗,3D Secure failed,payment,error,請消費者重新進行 3D 驗證
ecpay,10200047,MerchantTradeNo 重複,Duplicate MerchantTradeNo,validation,error,使用不同的訂單編號（最長 20 字元，僅英數字）
ecpay,10200050,TotalAmount 超出範圍（金額不符）,TotalAmount out of range,validation,error,檢查 TotalAmount
ecpay,10200058,信用卡授權失敗,Card authorization failed,payment,error,請消費者確認卡片資訊或更換信用卡
ecpay,10200073,CheckMacValue 驗證失敗,CheckMacValue verify fail,auth,error,不分大小寫排序、PHP urlencode 後轉小寫並還原 ( ) ! *、金流 SHA256 / 物流 MD5；確認 HashKey/HashIV
ecpay,10200095,交易已付款（重複付款）,Already paid,payment,warning,檢查訂單是否已處理
ecpay,10200105,BNPL 金額未達最低,BNPL amount below minimum,validation,error,"TotalAmount 需 >= 3,000 元"
ecpay,10200115,信用卡授權逾時,Card authorization timeout,payment,error,請消費者重新付款
ecpay,10300006,超商繳費期限已過（國內物流中為物流訂單已過期）,CVS payment expired,payment,error,重新建立訂單；同一代碼在物流服務含意不同
ecpay,10400011,WAF 關鍵字攔截,Blocked by WAF keyword,validation,error,ItemName / TradeDesc 含 echo、python、curl 等系統指令關鍵字，移除即可
newebpay,SUCCESS,成功,Success,success,info,
newebpay,MPG01002,時間戳記不可空白,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01005,TokenTerm 不可空白/設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01008,分期參數設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01009,商店代號不可空白,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01010,程式版本設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01011,回傳規格設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01012,商店訂單編號不可空白/設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01013,付款人電子信箱設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01014,網址設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01015,訂單金額不可空白/設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01016,檢查碼不可空白,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01017,商品資訊不可空白,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01018,繳費有效期限設定錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01023,交易加密資料不可空白,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01024,交易加密SHA 資料不可空白,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01025,金融機構格式錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01026,金融機構格式錯誤，不接受XXX 參數,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01027,一銀維護中，請選擇其他金融機構,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
newebpay,MPG01028,訂單細項格式錯誤,,validation,error,見藍新規格書 NDNF-1.2.2 錯誤代碼表
